Story,OutputCase,CaseType,StepType,StepNumber,Location,P,VX,VY,T,MX,MY
Story9,Ex,LinStatic,Step By Step,2,Top,0,-732.575,0.2764,12375.8782,-3.563,-11620.5842
Story9,Ex,LinStatic,Step By Step,2,Bottom,0,-732.575,0.2764,12375.8782,-4.3923,-13818.3093
Story9,Ex,LinStatic,Step By Step,3,Top,0,-732.6503,-1.3848,10994.1039,16.9941,-11621.505
Story9,Ex,LinStatic,Step By Step,3,Bottom,0,-732.6503,-1.3848,10994.1039,21.1484,-13819.4558
Story9,Ey,LinStatic,Step By Step,1,Top,0,-0.5579,-746.9875,-24344.0089,11799.883,-6.6432
Story9,Ey,LinStatic,Step By Step,1,Bottom,0,-0.5579,-746.9875,-24344.0089,14040.8455,-8.317
Story9,Ey,LinStatic,Step By Step,2,Top,0,-0.5956,-747.8181,-25034.896,11810.1615,-7.1035
Story9,Ey,LinStatic,Step By Step,2,Bottom,0,-0.5956,-747.8181,-25034.896,14053.6159,-8.8902
Story9,Ey,LinStatic,Step By Step,3,Top,0,-0.5203,-746.1569,-23653.1218,11789.6045,-6.1828
Story9,Ey,LinStatic,Step By Step,3,Bottom,0,-0.5203,-746.1569,-23653.1218,14028.0752,-7.7438
Story9,Qx,LinRespSpec,Max,,Top,0,502.8578,29.307,9237.2173,619.0228,10138.775
Story9,Qx,LinRespSpec,Max,,Bottom,0,502.8578,29.307,9237.2173,650.0755,11218.6735
Story9,Qy,LinRespSpec,Max,,Top,0,27.3455,340.5547,11627.9069,6566.6605,593.3102
Story9,Qy,LinRespSpec,Max,,Bottom,0,27.3455,340.5547,11627.9069,7316.4169,649.0097
Story9,Qx-Servicio (R=6),LinRespSpec,Max,,Top,0,302.7234,17.643,5560.8598,372.6554,6103.6029
